figure,source,dataset,stream,layer,value,reference,absdiff
fig1_gap_whole,Line2D arrays,Pitt,llm,16,0.8130375823324292,0.8130375823324292,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,17,0.81474234792716,0.81474234792716,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,18,0.8127857419604805,0.8127857419604805,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,19,0.8160790391321192,0.8160790391321192,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,20,0.8113618752421541,0.8113618752421541,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,21,0.8134250290585043,0.8134250290585043,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,22,0.8275474622239442,0.8275474622239442,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,23,0.8225687717938786,0.8225687717938786,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,24,0.8302595893064704,0.8302595893064704,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,25,0.8330976365749709,0.8330976365749709,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,26,0.8352867105772956,0.8352867105772956,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,27,0.8396358000774893,0.8396358000774893,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,28,0.8253390158853158,0.8253390158853158,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,0,0.583514571552849,0.583514571552849,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,1,0.5593011454255473,0.5593011454255473,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,2,0.6051181673191243,0.6051181673191243,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,3,0.5998260113092649,0.5998260113092649,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,4,0.6070755400898942,0.6070755400898942,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,5,0.5969986950848195,0.5969986950848195,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,6,0.6046831955922864,0.6046831955922864,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,7,0.586704364216326,0.586704364216326,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,8,0.5824271422357546,0.5824271422357546,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,9,0.5932289401188923,0.5932289401188923,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,10,0.6151225170363926,0.6151225170363926,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,11,0.6092503987240829,0.6092503987240829,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,12,0.601348412353197,0.601348412353197,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,13,0.6087429317094389,0.6087429317094389,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,14,0.609757865738727,0.609757865738727,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,15,0.6240394374365666,0.6240394374365666,0.0
